COUNTYFP,MODE_USAGE,STATE,Attribute,Value
6071,ALWAYS,California,ALWAYS,0.768
6073,ALWAYS,California,FREQUENTLY,0.126
6073,ALWAYS,California,ALWAYS,0.8
6075,ALWAYS,California,FREQUENTLY,0.121
6075,ALWAYS,California,ALWAYS,0.817
6077,ALWAYS,California,FREQUENTLY,0.165
6077,ALWAYS,California,ALWAYS,0.68
6079,ALWAYS,California,FREQUENTLY,0.169
6079,ALWAYS,California,ALWAYS,0.745
6081,ALWAYS,California,FREQUENTLY,0.126
6081,ALWAYS,California,ALWAYS,0.786
6083,ALWAYS,California,FREQUENTLY,0.153
6083,ALWAYS,California,ALWAYS,0.737
6085,ALWAYS,California,FREQUENTLY,0.168
6085,ALWAYS,California,ALWAYS,0.764
6087,ALWAYS,California,FREQUENTLY,0.109
6087,ALWAYS,California,ALWAYS,0.797
6089,ALWAYS,California,FREQUENTLY,0.232
6089,ALWAYS,California,ALWAYS,0.547
6091,ALWAYS,California,FREQUENTLY,0.143
6091,ALWAYS,California,ALWAYS,0.617
6093,ALWAYS,California,FREQUENTLY,0.167
6093,ALWAYS,California,ALWAYS,0.546
6095,ALWAYS,California,FREQUENTLY,0.148
6095,ALWAYS,California,ALWAYS,0.728
6097,ALWAYS,California,FREQUENTLY,0.149
6097,ALWAYS,California,ALWAYS,0.795
6099,ALWAYS,California,FREQUENTLY,0.173
6099,ALWAYS,California,ALWAYS,0.705
6101,ALWAYS,California,FREQUENTLY,0.163
6101,ALWAYS,California,ALWAYS,0.669
6103,ALWAYS,California,FREQUENTLY,0.195
6103,ALWAYS,California,ALWAYS,0.545
6105,ALWAYS,California,FREQUENTLY,0.201
6105,ALWAYS,California,ALWAYS,0.592
6107,ALWAYS,California,FREQUENTLY,0.136
6107,ALWAYS,California,ALWAYS,0.685
6109,ALWAYS,California,FREQUENTLY,0.212
6109,ALWAYS,California,ALWAYS,0.653
6111,ALWAYS,California,FREQUENTLY,0.156
6111,ALWAYS,California,ALWAYS,0.777
6113,ALWAYS,California,FREQUENTLY,0.156
6113,ALWAYS,California,ALWAYS,0.791
6115,ALWAYS,California,FREQUENTLY,0.167
6115,ALWAYS,California,ALWAYS,0.669
9001,ALWAYS,Connecticut,FREQUENTLY,0.114
9001,ALWAYS,Connecticut,ALWAYS,0.78
9003,ALWAYS,Connecticut,FREQUENTLY,0.13
9003,ALWAYS,Connecticut,ALWAYS,0.767
9005,ALWAYS,Connecticut,FREQUENTLY,0.098
9005,ALWAYS,Connecticut,ALWAYS,0.812
9007,ALWAYS,Connecticut,FREQUENTLY,0.128
9007,ALWAYS,Connecticut,ALWAYS,0.807
9009,ALWAYS,Connecticut,FREQUENTLY,0.115
9009,ALWAYS,Connecticut,ALWAYS,0.795
9011,ALWAYS,Connecticut,FREQUENTLY,0.142
9011,ALWAYS,Connecticut,ALWAYS,0.747
9013,ALWAYS,Connecticut,FREQUENTLY,0.147
9013,ALWAYS,Connecticut,ALWAYS,0.81
9015,ALWAYS,Connecticut,FREQUENTLY,0.137
9015,ALWAYS,Connecticut,ALWAYS,0.718
10001,ALWAYS,Delaware,FREQUENTLY,0.051
10001,ALWAYS,Delaware,ALWAYS,0.811
10003,ALWAYS,Delaware,FREQUENTLY,0.133
10003,ALWAYS,Delaware,ALWAYS,0.786
10005,ALWAYS,Delaware,FREQUENTLY,0.103
10005,ALWAYS,Delaware,ALWAYS,0.856
11001,ALWAYS,District of Columbia,FREQUENTLY,0.164
11001,ALWAYS,District of Columbia,ALWAYS,0.743
15001,ALWAYS,Hawaii,FREQUENTLY,0.122
15001,ALWAYS,Hawaii,ALWAYS,0.799
15003,ALWAYS,Hawaii,FREQUENTLY,0.151
15003,ALWAYS,Hawaii,ALWAYS,0.798
15005,ALWAYS,Hawaii,FREQUENTLY,0.08
15005,ALWAYS,Hawaii,ALWAYS,0.85
15007,ALWAYS,Hawaii,FREQUENTLY,0.108
15007,ALWAYS,Hawaii,ALWAYS,0.825
15009,ALWAYS,Hawaii,FREQUENTLY,0.122
15009,ALWAYS,Hawaii,ALWAYS,0.803
24001,ALWAYS,Maryland,FREQUENTLY,0.213
24001,ALWAYS,Maryland,ALWAYS,0.736
24003,ALWAYS,Maryland,FREQUENTLY,0.154
24003,ALWAYS,Maryland,ALWAYS,0.739
24005,ALWAYS,Maryland,FREQUENTLY,0.142
24005,ALWAYS,Maryland,ALWAYS,0.777
24009,ALWAYS,Maryland,FREQUENTLY,0.11
24009,ALWAYS,Maryland,ALWAYS,0.72
24011,ALWAYS,Maryland,FREQUENTLY,0.168
24011,ALWAYS,Maryland,ALWAYS,0.77
24013,ALWAYS,Maryland,FREQUENTLY,0.17
24013,ALWAYS,Maryland,ALWAYS,0.746
24015,ALWAYS,Maryland,FREQUENTLY,0.182
24015,ALWAYS,Maryland,ALWAYS,0.738
24017,ALWAYS,Maryland,FREQUENTLY,0.157
24017,ALWAYS,Maryland,ALWAYS,0.667
24019,ALWAYS,Maryland,FREQUENTLY,0.119
24019,ALWAYS,Maryland,ALWAYS,0.844
24021,ALWAYS,Maryland,FREQUENTLY,0.113
24021,ALWAYS,Maryland,ALWAYS,0.762
24023,ALWAYS,Maryland,FREQUENTLY,0.305
24023,ALWAYS,Maryland,ALWAYS,0.571
24025,ALWAYS,Maryland,FREQUENTLY,0.168
24025,ALWAYS,Maryland,ALWAYS,0.778
24027,ALWAYS,Maryland,FREQUENTLY,0.17
24027,ALWAYS,Maryland,ALWAYS,0.723
24029,ALWAYS,Maryland,FREQUENTLY,0.207
24029,ALWAYS,Maryland,ALWAYS,0.714
24031,ALWAYS,Maryland,FREQUENTLY,0.128
24031,ALWAYS,Maryland,ALWAYS,0.777
24033,ALWAYS,Maryland,FREQUENTLY,0.094
24033,ALWAYS,Maryland,ALWAYS,0.72
24035,ALWAYS,Maryland,FREQUENTLY,0.309
24035,ALWAYS,Maryland,ALWAYS,0.605
24037,ALWAYS,Maryland,FREQUENTLY,0.152
24037,ALWAYS,Maryland,ALWAYS,0.763
24039,ALWAYS,Maryland,FREQUENTLY,0.128
24039,ALWAYS,Maryland,ALWAYS,0.812
24041,ALWAYS,Maryland,FREQUENTLY,0.127
24041,ALWAYS,Maryland,ALWAYS,0.843
24043,ALWAYS,Maryland,FREQUENTLY,0.194
24043,ALWAYS,Maryland,ALWAYS,0.642
24045,ALWAYS,Maryland,FREQUENTLY,0.116
24045,ALWAYS,Maryland,ALWAYS,0.804
24047,ALWAYS,Maryland,FREQUENTLY,0.11
24047,ALWAYS,Maryland,ALWAYS,0.842
24510,ALWAYS,Maryland,FREQUENTLY,0.148
24510,ALWAYS,Maryland,ALWAYS,0.733
25001,ALWAYS,Massachusetts,FREQUENTLY,0.109
25001,ALWAYS,Massachusetts,ALWAYS,0.839
25003,ALWAYS,Massachusetts,FREQUENTLY,0.082
25003,ALWAYS,Massachusetts,ALWAYS,0.834
25005,ALWAYS,Massachusetts,FREQUENTLY,0.161
25005,ALWAYS,Massachusetts,ALWAYS,0.747
25007,ALWAYS,Massachusetts,FREQUENTLY,0.16
25007,ALWAYS,Massachusetts,ALWAYS,0.786
25009,ALWAYS,Massachusetts,FREQUENTLY,0.131
25009,ALWAYS,Massachusetts,ALWAYS,0.788
25011,ALWAYS,Massachusetts,FREQUENTLY,0.156
25011,ALWAYS,Massachusetts,ALWAYS,0.762
25013,ALWAYS,Massachusetts,FREQUENTLY,0.13
25013,ALWAYS,Massachusetts,ALWAYS,0.786
25015,ALWAYS,Massachusetts,FREQUENTLY,0.109
25015,ALWAYS,Massachusetts,ALWAYS,0.857
25017,ALWAYS,Massachusetts,FREQUENTLY,0.127
25017,ALWAYS,Massachusetts,ALWAYS,0.798
25019,ALWAYS,Massachusetts,FREQUENTLY,0.156
25019,ALWAYS,Massachusetts,ALWAYS,0.792
25021,ALWAYS,Massachusetts,FREQUENTLY,0.125
25021,ALWAYS,Massachusetts,ALWAYS,0.805
25023,ALWAYS,Massachusetts,FREQUENTLY,0.112
25023,ALWAYS,Massachusetts,ALWAYS,0.812
25025,ALWAYS,Massachusetts,FREQUENTLY,0.136
25025,ALWAYS,Massachusetts,ALWAYS,0.788
25027,ALWAYS,Massachusetts,FREQUENTLY,0.142
25027,ALWAYS,Massachusetts,ALWAYS,0.768
34001,ALWAYS,New Jersey,FREQUENTLY,0.176
34001,ALWAYS,New Jersey,ALWAYS,0.734
34003,ALWAYS,New Jersey,FREQUENTLY,0.151
34003,ALWAYS,New Jersey,ALWAYS,0.762
34005,ALWAYS,New Jersey,FREQUENTLY,0.134
34005,ALWAYS,New Jersey,ALWAYS,0.779
34007,ALWAYS,New Jersey,FREQUENTLY,0.137
34007,ALWAYS,New Jersey,ALWAYS,0.802
34009,ALWAYS,New Jersey,FREQUENTLY,0.214
34009,ALWAYS,New Jersey,ALWAYS,0.74
34011,ALWAYS,New Jersey,FREQUENTLY,0.142
34011,ALWAYS,New Jersey,ALWAYS,0.762
34013,ALWAYS,New Jersey,FREQUENTLY,0.183
34013,ALWAYS,New Jersey,ALWAYS,0.682
34015,ALWAYS,New Jersey,FREQUENTLY,0.145
34015,ALWAYS,New Jersey,ALWAYS,0.746
34017,ALWAYS,New Jersey,FREQUENTLY,0.211
34017,ALWAYS,New Jersey,ALWAYS,0.67
34019,ALWAYS,New Jersey,FREQUENTLY,0.085
34019,ALWAYS,New Jersey,ALWAYS,0.804
34021,ALWAYS,New Jersey,FREQUENTLY,0.162
34021,ALWAYS,New Jersey,ALWAYS,0.757
34023,ALWAYS,New Jersey,FREQUENTLY,0.146
34023,ALWAYS,New Jersey,ALWAYS,0.765
34025,ALWAYS,New Jersey,FREQUENTLY,0.164
34025,ALWAYS,New Jersey,ALWAYS,0.764
34027,ALWAYS,New Jersey,FREQUENTLY,0.191
34027,ALWAYS,New Jersey,ALWAYS,0.72
34029,ALWAYS,New Jersey,FREQUENTLY,0.104
34029,ALWAYS,New Jersey,ALWAYS,0.772
34031,ALWAYS,New Jersey,FREQUENTLY,0.138
34031,ALWAYS,New Jersey,ALWAYS,0.756
34033,ALWAYS,New Jersey,FREQUENTLY,0.154
34033,ALWAYS,New Jersey,ALWAYS,0.726
34035,ALWAYS,New Jersey,FREQUENTLY,0.12
34035,ALWAYS,New Jersey,ALWAYS,0.791
34037,ALWAYS,New Jersey,FREQUENTLY,0.205
34037,ALWAYS,New Jersey,ALWAYS,0.72
34039,ALWAYS,New Jersey,FREQUENTLY,0.202
34039,ALWAYS,New Jersey,ALWAYS,0.716
34041,ALWAYS,New Jersey,FREQUENTLY,0.152
34041,ALWAYS,New Jersey,ALWAYS,0.749
36001,ALWAYS,New York,FREQUENTLY,0.142
36001,ALWAYS,New York,ALWAYS,0.788
36003,ALWAYS,New York,FREQUENTLY,0.124
36003,ALWAYS,New York,ALWAYS,0.771
36005,ALWAYS,New York,FREQUENTLY,0.136
36005,ALWAYS,New York,ALWAYS,0.742
36007,ALWAYS,New York,FREQUENTLY,0.066
36007,ALWAYS,New York,ALWAYS,0.812
36009,ALWAYS,New York,FREQUENTLY,0.156
36009,ALWAYS,New York,ALWAYS,0.793
36011,ALWAYS,New York,FREQUENTLY,0.162
36011,ALWAYS,New York,ALWAYS,0.732
36013,ALWAYS,New York,FREQUENTLY,0.206
36013,ALWAYS,New York,ALWAYS,0.703
36015,ALWAYS,New York,FREQUENTLY,0.256
36015,ALWAYS,New York,ALWAYS,0.594
36017,ALWAYS,New York,FREQUENTLY,0.156
36017,ALWAYS,New York,ALWAYS,0.735
36019,ALWAYS,New York,FREQUENTLY,0.084
36019,ALWAYS,New York,ALWAYS,0.773
36021,ALWAYS,New York,FREQUENTLY,0.104
36021,ALWAYS,New York,ALWAYS,0.848
36023,ALWAYS,New York,FREQUENTLY,0.118
36023,ALWAYS,New York,ALWAYS,0.803
36025,ALWAYS,New York,FREQUENTLY,0.112
36025,ALWAYS,New York,ALWAYS,0.744
36027,ALWAYS,New York,FREQUENTLY,0.099
36027,ALWAYS,New York,ALWAYS,0.854
36029,ALWAYS,New York,FREQUENTLY,0.161
36029,ALWAYS,New York,ALWAYS,0.766
36031,ALWAYS,New York,FREQUENTLY,0.107
36031,ALWAYS,New York,ALWAYS,0.736
36033,ALWAYS,New York,FREQUENTLY,0.097
36033,ALWAYS,New York,ALWAYS,0.733
36035,ALWAYS,New York,FREQUENTLY,0.118
36035,ALWAYS,New York,ALWAYS,0.729
36037,ALWAYS,New York,FREQUENTLY,0.187
36037,ALWAYS,New York,ALWAYS,0.781
36039,ALWAYS,New York,FREQUENTLY,0.146
36039,ALWAYS,New York,ALWAYS,0.788
36041,ALWAYS,New York,FREQUENTLY,0.229
36041,ALWAYS,New York,ALWAYS,0.653
36043,ALWAYS,New York,FREQUENTLY,0.158
36043,ALWAYS,New York,ALWAYS,0.758
36045,ALWAYS,New York,FREQUENTLY,0.116
36045,ALWAYS,New York,ALWAYS,0.78
36047,ALWAYS,New York,FREQUENTLY,0.141
36047,ALWAYS,New York,ALWAYS,0.732
36049,ALWAYS,New York,FREQUENTLY,0.11
36049,ALWAYS,New York,ALWAYS,0.765
36051,ALWAYS,New York,FREQUENTLY,0.111
36051,ALWAYS,New York,ALWAYS,0.835
36053,ALWAYS,New York,FREQUENTLY,0.107
36053,ALWAYS,New York,ALWAYS,0.832
36055,ALWAYS,New York,FREQUENTLY,0.129
36055,ALWAYS,New York,ALWAYS,0.785
36057,ALWAYS,New York,FREQUENTLY,0.09
36057,ALWAYS,New York,ALWAYS,0.749
36059,ALWAYS,New York,FREQUENTLY,0.142
36059,ALWAYS,New York,ALWAYS,0.779
36061,ALWAYS,New York,FREQUENTLY,0.121
36061,ALWAYS,New York,ALWAYS,0.803
36063,ALWAYS,New York,FREQUENTLY,0.204
36063,ALWAYS,New York,ALWAYS,0.73
36065,ALWAYS,New York,FREQUENTLY,0.153
36065,ALWAYS,New York,ALWAYS,0.774
36067,ALWAYS,New York,FREQUENTLY,0.163
36067,ALWAYS,New York,ALWAYS,0.756
36069,ALWAYS,New York,FREQUENTLY,0.107
36069,ALWAYS,New York,ALWAYS,0.849
36071,ALWAYS,New York,FREQUENTLY,0.18
36071,ALWAYS,New York,ALWAYS,0.746
36073,ALWAYS,New York,FREQUENTLY,0.213
36073,ALWAYS,New York,ALWAYS,0.693
36075,ALWAYS,New York,FREQUENTLY,0.119
36075,ALWAYS,New York,ALWAYS,0.766
36077,ALWAYS,New York,FREQUENTLY,0.096
36077,ALWAYS,New York,ALWAYS,0.779
36079,ALWAYS,New York,FREQUENTLY,0.105
36079,ALWAYS,New York,ALWAYS,0.852
36081,ALWAYS,New York,FREQUENTLY,0.136
36081,ALWAYS,New York,ALWAYS,0.751
36083,ALWAYS,New York,FREQUENTLY,0.14
36083,ALWAYS,New York,ALWAYS,0.751
36085,ALWAYS,New York,FREQUENTLY,0.178
36085,ALWAYS,New York,ALWAYS,0.728
36087,ALWAYS,New York,FREQUENTLY,0.195
36087,ALWAYS,New York,ALWAYS,0.722
36089,ALWAYS,New York,FREQUENTLY,0.149
36089,ALWAYS,New York,ALWAYS,0.701
36091,ALWAYS,New York,FREQUENTLY,0.156
36091,ALWAYS,New York,ALWAYS,0.751
36093,ALWAYS,New York,FREQUENTLY,0.06
36093,ALWAYS,New York,ALWAYS,0.841
36095,ALWAYS,New York,FREQUENTLY,0.108
36095,ALWAYS,New York,ALWAYS,0.825
36097,ALWAYS,New York,FREQUENTLY,0.239
36097,ALWAYS,New York,ALWAYS,0.67
36099,ALWAYS,New York,FREQUENTLY,0.082
36099,ALWAYS,New York,ALWAYS,0.864
36101,ALWAYS,New York,FREQUENTLY,0.201
36101,ALWAYS,New York,ALWAYS,0.674
36103,ALWAYS,New York,FREQUENTLY,0.106
36103,ALWAYS,New York,ALWAYS,0.782
36105,ALWAYS,New York,FREQUENTLY,0.085
36105,ALWAYS,New York,ALWAYS,0.817
36107,ALWAYS,New York,FREQUENTLY,0.114
36107,ALWAYS,New York,ALWAYS,0.839
36109,ALWAYS,New York,FREQUENTLY,0.098
36109,ALWAYS,New York,ALWAYS,0.833
36111,ALWAYS,New York,FREQUENTLY,0.1
36111,ALWAYS,New York,ALWAYS,0.818
36113,ALWAYS,New York,FREQUENTLY,0.13
36113,ALWAYS,New York,ALWAYS,0.723
36115,ALWAYS,New York,FREQUENTLY,0.138
36115,ALWAYS,New York,ALWAYS,0.673
36117,ALWAYS,New York,FREQUENTLY,0.132
36117,ALWAYS,New York,ALWAYS,0.789
36119,ALWAYS,New York,FREQUENTLY,0.115
36119,ALWAYS,New York,ALWAYS,0.798
36121,ALWAYS,New York,FREQUENTLY,0.107
36121,ALWAYS,New York,ALWAYS,0.861
36123,ALWAYS,New York,FREQUENTLY,0.087
36123,ALWAYS,New York,ALWAYS,0.884
44001,ALWAYS,Rhode Island,FREQUENTLY,0.143
44001,ALWAYS,Rhode Island,ALWAYS,0.827
44003,ALWAYS,Rhode Island,FREQUENTLY,0.123
44003,ALWAYS,Rhode Island,ALWAYS,0.807
44005,ALWAYS,Rhode Island,FREQUENTLY,0.129
44005,ALWAYS,Rhode Island,ALWAYS,0.815
44007,ALWAYS,Rhode Island,FREQUENTLY,0.159
44007,ALWAYS,Rhode Island,ALWAYS,0.754
44009,ALWAYS,Rhode Island,FREQUENTLY,0.126
44009,ALWAYS,Rhode Island,ALWAYS,0.807
